image,group_id
training/0.jpg,scene_6bc1f99f5e80
training/1.jpg,scene_d3830ef39dc2
training/10.jpg,scene_2cd94831566c
training/100.jpg,scene_26ba0313329c
training/101.jpg,scene_fb6ae9da5546
training/102.jpg,scene_6151e35a5c6a
training/103.jpg,scene_6151e35a5c6a
training/104.jpg,scene_e6f54f903a64
training/105.jpg,scene_09004a5715e8
training/106.jpg,scene_407c6a78c616
training/107.jpg,scene_a9935bb15003
training/108.jpg,scene_a4ec05571d9a
training/109.jpg,scene_7f337a74b6e5
training/11.jpg,scene_39ccf0f0755b
training/110.jpg,scene_445c5ffb94b5
training/111.jpg,scene_407c6a78c616
training/112.jpg,scene_94c8896b7af8
training/113.jpg,scene_403e31ef8788
training/114.jpg,scene_66f54f28e3fb
training/115.jpg,scene_6151e35a5c6a
training/116.jpg,scene_2d67707b601f
training/117.jpg,scene_5ef1ab6ed5c0
training/118.jpg,scene_6151e35a5c6a
training/119.jpg,scene_cde46f3e7a86
training/12.jpg,scene_5ef1ab6ed5c0
training/120.jpg,scene_b1c0fd27215b
training/121.jpg,scene_6151e35a5c6a
training/122.jpg,scene_5e357cb58bd7
training/123.jpg,scene_7c94bf55fa32
training/124.jpg,scene_af58d85624e5
training/125.jpg,scene_251c2c4514e0
training/126.jpg,scene_46bf3e740972
training/127.jpg,scene_a19c8acba06e
training/128.jpg,scene_3c1f9b4bc28f
training/129.jpg,scene_6151e35a5c6a
training/13.jpg,scene_77855972bdd9
training/130.jpg,scene_a77de6b7cab7
training/131.jpg,scene_5ef1ab6ed5c0
training/132.jpg,scene_a8f94085076d
training/133.jpg,scene_1774a4040113
training/134.jpg,scene_f6addf7ede47
training/135.jpg,scene_8b469906b912
training/136.jpg,scene_6151e35a5c6a
training/137.jpg,scene_6151e35a5c6a
training/138.jpg,scene_08822f6534dc
training/139.jpg,scene_f894eb3ac557
training/14.jpg,scene_88f9a116591e
training/140.jpg,scene_0ee33695d69b
training/141.jpg,scene_1881646c3271
training/142.jpg,scene_6151e35a5c6a
training/143.jpg,scene_6151e35a5c6a
training/144.jpg,scene_79c2a17f0a76
training/145.jpg,scene_fdfe66c2baf0
training/146.jpg,scene_6d76e6301375
training/147.jpg,scene_4abf60e4d71a
training/148.jpg,scene_1b56c790374a
training/149.jpg,scene_b80ee2ac694b
training/15.jpg,scene_4d01aa9ea92f
training/150.jpg,scene_5e357cb58bd7
training/151.jpg,scene_21c24f55301f
training/152.jpg,scene_6151e35a5c6a
training/153.jpg,scene_fc43ade772de
training/154.jpg,scene_b96f2fb59aa3
training/155.jpg,scene_6151e35a5c6a
training/156.jpg,scene_6151e35a5c6a
training/157.jpg,scene_f64569560f14
training/158.jpg,scene_6151e35a5c6a
training/159.jpg,scene_720531036cdb
training/16.jpg,scene_b56a69b93fab
training/160.jpg,scene_5e357cb58bd7
training/161.jpg,scene_4c0410d887bd
training/162.jpg,scene_6151e35a5c6a
training/163.jpg,scene_2a659c781e43
training/164.jpg,scene_07b2232ed8bb
